,artists,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0,ben e. king,stand by me,0.653,0.334,9,-6.955,1,0.0313,0.411,3.47e-05,0.123,0.665,119.46,2
1,percy sledge,when a man loves a woman,0.526,0.436,1,-6.02,1,0.0232,0.0981,7.69e-06,0.118,0.286,96.903,0
2,the rolling stones,(i can't get no) satisfaction - mono version,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603,2
3,sam cooke,(what a) wonderful world,0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518,2
4,van morrison,brown eyed girl,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,2
5,aretha franklin,i say a little prayer,0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03,0
6,the beatles,here comes the sun - remastered,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,2
7,marvin gaye,ain't no mountain high enough,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037,4
8,the beach boys,surfin' u.s.a. - remastered 2001,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231,2
9,otis redding,(sittin' on) the dock of the bay,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,1
10,sonny & cher,i got you babe,0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533,2
11,the monkees,daydream believer,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,2
12,bee gees,to love somebody,0.423,0.384,9,-12.503,1,0.0315,0.729,4.11e-06,0.27,0.521,90.43,0
13,the beach boys,god only knows - mono / 1997 remastered,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072,4
14,elvis presley,suspicious minds,0.542,0.722,7,-5.065,1,0.0262,0.0516,1.18e-05,0.131,0.609,115.21,2
15,four tops,"i can't help myself (sugar pie, honey bunch)",0.703,0.563,0,-9.99,1,0.0294,0.374,0.0,0.0933,0.972,127.004,2
16,simon & garfunkel,"mrs. robinson - from ""the graduate"" soundtrack",0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,4
17,dusty springfield,son of a preacher man,0.405,0.488,4,-10.784,1,0.0678,0.415,0.0,0.0753,0.806,181.624,1
18,the monkees,i'm a believer - 2006 remaster,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,2
19,the drifters,under the boardwalk,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,0
20,jackie wilson,(your love keeps lifting me) higher & higher,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574,2
21,the supremes,you can't hurry love,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912,2
22,the beach boys,good vibrations - remastered 2001,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912,4
23,dusty springfield,i only want to be with you,0.582,0.818,7,-4.281,1,0.0332,0.236,0.0,0.253,0.954,132.946,2
24,stevie wonder,for once in my life,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121,2
25,harry nilsson,"everybody's talkin' - from ""midnight cowboy""",0.402,0.493,4,-9.99,1,0.0357,0.235,3.05e-05,0.229,0.692,124.103,2
26,simon & garfunkel,homeward bound,0.485,0.378,3,-11.773,1,0.0337,0.831,0.0,0.103,0.528,92.928,0
27,"peter, paul and mary",leaving on a jet plane,0.414,0.167,9,-16.519,1,0.0484,0.804,0.0,0.117,0.384,133.45,0
28,creedence clearwater revival,proud mary,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,2
29,marvin gaye,i heard it through the grapevine,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,4
30,the spencer davis group,gimme some lovin' - single mix,0.493,0.688,7,-8.143,1,0.0321,0.0126,0.256,0.38,0.533,147.403,2
31,the righteous brothers,you've lost that lovin' feelin',0.366,0.317,1,-13.976,1,0.027,0.541,0.0,0.0865,0.398,94.108,0
32,sam cooke,cupid,0.474,0.478,7,-8.951,1,0.0343,0.484,0.0,0.0833,0.831,120.326,2
33,them,gloria (feat. van morrison) - stereo version,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118,2
34,bob dylan,"lay, lady, lay",0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746,4
35,martha reeves & the vandellas,dancing in the street - single version,0.561,0.883,11,-1.737,0,0.0367,0.0405,0.0305,0.112,0.749,126.203,4
36,the drifters,save the last dance for me,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,2
37,sly & the family stone,everyday people,0.807,0.497,7,-10.656,1,0.0297,0.307,0.0327,0.043,0.765,114.524,2
38,the beatles,eight days a week - remastered 2009,0.652,0.583,9,-7.811,1,0.038,0.412,0.0,0.119,0.744,138.134,2
39,the supremes,where did our love go - stereo version,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86e-06,0.106,0.793,134.676,2
40,the beach boys,wouldn't it be nice - mono / remastered,0.396,0.686,5,-5.607,1,0.0341,0.725,1.04e-06,0.17,0.717,124.318,2
41,the mamas & the papas,california dreamin' - single version,0.557,0.698,1,-7.471,0,0.039,0.472,0.0,0.057,0.677,112.479,4
42,sam cooke,another saturday night,0.776,0.659,9,-7.767,1,0.051,0.434,0.0,0.0868,0.969,123.094,2
43,petula clark,downtown,0.495,0.629,4,-6.817,1,0.0431,0.695,0.0,0.164,0.545,118.515,2
44,stevie wonder,a place in the sun,0.561,0.447,1,-11.389,1,0.0544,0.279,0.0,0.319,0.729,117.784,2
45,roy orbison,"oh, pretty woman",0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,2
46,the drifters,up on the roof,0.693,0.29,8,-17.501,1,0.0334,0.706,1.49e-05,0.137,0.92,121.795,0
47,wilson pickett,in the midnight hour,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919,2
48,the band,the weight - remastered,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942,2
49,the beach boys,don't worry baby - remastered 2001,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,2
50,tom jones,it's not unusual,0.346,0.716,0,-10.001,1,0.0735,0.571,0.0,0.189,0.904,184.499,1
51,simon & garfunkel,the boxer,0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,0
52,the mamas & the papas,"monday, monday - single version",0.493,0.467,1,-11.183,1,0.0289,0.757,0.0,0.388,0.731,110.553,0
53,stone poneys,different drum,0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213,0
54,wilson pickett,mustang sally,0.725,0.327,0,-17.714,1,0.0387,0.113,0.326,0.214,0.688,110.438,0
55,the byrds,mr. tambourine man,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,0
56,sam cooke,twistin' the night away,0.581,0.696,9,-8.75,1,0.108,0.673,0.0,0.322,0.932,160.891,1
57,dionne warwick,do you know the way to san jose,0.658,0.657,0,-7.792,1,0.0482,0.592,9.5e-06,0.08,0.888,157.269,2
58,tom jones,green green grass of home,0.543,0.41,8,-13.253,1,0.0268,0.157,0.0,0.0996,0.817,95.363,2
59,creedence clearwater revival,bad moon rising,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,2
60,the rolling stones,honky tonk women - mono version,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,2
61,love affair,everlasting love,0.499,0.595,4,-10.028,1,0.0384,0.258,0.0,0.487,0.813,120.521,2
62,frank sinatra,somethin' stupid,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356,1
63,bee gees,massachusetts (2008 remastered lp version),0.484,0.538,7,-9.218,1,0.0296,0.00306,3.54e-05,0.0711,0.498,102.073,2
64,joni mitchell,both sides now,0.623,0.156,6,-15.098,1,0.0308,0.912,0.0,0.141,0.329,97.235,0
65,the archies,sugar sugar,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439,2
66,small faces,itchycoo park,0.603,0.596,9,-8.029,1,0.0728,0.395,2.31e-06,0.451,0.502,128.129,2
67,ike & tina turner,river deep - mountain high,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,0
68,the kingsmen,louie louie,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394,4
69,the monkees,last train to clarksville - original stereo version; 2006 remaster,0.239,0.618,0,-8.464,1,0.033,0.0305,0.0,0.721,0.683,197.499,1
70,the kinks,waterloo sunset - stereo mix,0.517,0.692,1,-7.273,0,0.0246,0.253,0.0,0.172,0.476,107.958,4
71,aretha franklin,respect,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,2
72,little eva,the loco-motion - single version,0.636,0.893,3,-6.311,1,0.047,0.674,0.00143,0.176,0.887,129.664,2
73,lulu,to sir with love,0.546,0.399,4,-9.378,1,0.027,0.361,3.18e-06,0.0995,0.301,97.142,0
74,glen campbell,wichita lineman - remastered 2001,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,1
75,andy williams,"moon river (from ""breakfast at tiffany's"")",0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555,0
76,the byrds,turn! turn! turn! (to everything there is a season),0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532,2
77,the supremes,baby love,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633,2
78,dusty springfield,you don't have to say you love me,0.243,0.655,2,-4.597,0,0.0363,0.659,1.28e-06,0.0821,0.575,111.965,4
79,the everly brothers,wake up little susie,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,2
80,fleetwood mac,albatross - 2018 remaster,0.321,0.0631,6,-21.616,0,0.0351,0.833,0.83,0.141,0.264,135.605,3
81,the ronettes,be my baby,0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639,2
82,the 5th dimension,aquarius/let the sunshine in (the flesh failures) [remastered],0.312,0.555,7,-10.05,1,0.0377,0.47,1.43e-06,0.084,0.491,118.235,0
83,the temptations,my girl,0.579,0.419,0,-10.72,1,0.0346,0.625,0.0,0.0981,0.673,104.564,0
84,the lovin' spoonful,summer in the city - remastered,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461,2
85,roy orbison,only the lonely,0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,2
86,otis redding,hard to handle,0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552,2
87,patsy cline,crazy - single version,0.471,0.021,10,-24.385,1,0.0366,0.931,1.19e-06,0.103,0.356,107.796,0
88,the isley brothers,this old heart of mine (is weak for you),0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287,2
89,the chiffons,one fine day,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13,1
90,jimmy ruffin,what becomes of the brokenhearted,0.715,0.423,7,-12.663,0,0.0306,0.62,0.0,0.568,0.596,98.623,4
91,the rolling stones,jumpin' jack flash,0.569,0.896,3,-9.068,1,0.0634,0.0602,0.31,0.0723,0.711,137.292,2
92,the beatles,all you need is love - remastered 2009,0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436,2
93,four tops,baby i need your loving,0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414,4
94,ike & tina turner,river deep - mountain high,0.621,0.972,8,-3.791,1,0.0724,0.472,0.000585,0.195,0.866,155.113,2
95,the shirelles,will you love me tomorrow,0.539,0.406,0,-6.225,1,0.0261,0.351,5.1e-06,0.161,0.376,135.923,0
96,neil diamond,sweet caroline,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,0
97,bob dylan,like a rolling stone,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,2
98,the troggs,wild thing,0.446,0.92,9,-4.228,1,0.183,0.754,0.0514,0.239,0.656,203.034,1
99,dion,runaround sue,0.364,0.607,2,-9.791,1,0.125,0.451,0.0,0.251,0.598,79.987,1
100,aretha franklin,(you make me feel like) a natural woman,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,0
101,the beatles,twist and shout - remastered 2009,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,2
102,four tops,"reach out, i'll be there",0.619,0.472,3,-11.999,0,0.0296,0.293,0.0,0.168,0.777,119.569,4
103,sam & dave,soul man,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345,2
104,chuck berry,no particular place to go - stereo remix,0.574,0.542,7,-11.578,1,0.0657,0.212,0.000117,0.0645,0.977,129.646,2
105,smokey robinson & the miracles,the tracks of my tears,0.502,0.333,7,-10.914,1,0.0264,0.699,0.0,0.222,0.729,96.982,0
106,ray charles,georgia on my mind - original master recording,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93,1
107,simon & garfunkel,america,0.259,0.241,2,-15.955,1,0.042,0.554,6.62e-06,0.0849,0.275,178.453,1
108,the crystals,da doo ron ron (when he walked me home),0.535,0.797,3,-7.533,1,0.0459,0.48,3.42e-05,0.141,0.613,148.835,2
109,procol harum,a whiter shade of pale,0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,1
110,eddie floyd,knock on wood,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,2
111,gerry & the pacemakers,ferry cross the mersey - stereo; 1997 remaster,0.396,0.286,6,-11.494,0,0.0283,0.548,8.51e-06,0.122,0.605,105.289,4
112,herb alpert & the tijuana brass,this guy's in love with you,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.768,0
113,the lovin' spoonful,do you believe in magic?,0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602,2
114,judy collins,both sides now,0.352,0.3,8,-9.282,1,0.0301,0.413,0.0,0.1,0.295,58.686,0
115,the seekers,georgy girl,0.515,0.496,4,-7.446,1,0.0324,0.265,0.0,0.182,0.651,153.582,2
116,fontella bass,rescue me,0.733,0.579,7,-8.442,1,0.033,0.573,2.11e-05,0.113,0.963,122.729,2
117,the foundations,build me up buttercup - mono,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609,2
118,manfred mann,do wah diddy diddy,0.661,0.557,4,-8.244,1,0.049,0.262,0.0,0.0557,0.957,125.445,2
119,the everly brothers,cathy's clown - 2007 remaster,0.507,0.561,7,-10.472,1,0.0353,0.548,0.0,0.59,0.89,120.042,2
120,peter sarstedt,where do you go to (my lovely),0.408,0.436,0,-7.712,1,0.0345,0.805,1.72e-06,0.305,0.474,175.024,1
121,johnny cash,ring of fire,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,2
122,chuck berry,you never can tell,0.605,0.837,7,-10.059,1,0.114,0.754,4.11e-05,0.3,0.93,157.225,1
123,the contours,do you love me,0.615,0.815,5,-7.128,1,0.0373,0.475,0.0,0.0964,0.765,150.733,2
124,scott mckenzie,san francisco (be sure to wear flowers in your hair) - single version,0.525,0.52,7,-11.725,1,0.0271,0.538,0.00569,0.111,0.523,112.554,0
125,the drifters,saturday night at the movies,0.708,0.545,6,-7.376,1,0.0502,0.648,0.0,0.121,0.935,135.241,2
126,aretha franklin,chain of fools,0.721,0.567,10,-9.516,1,0.0389,0.221,0.0,0.465,0.914,116.643,2
127,the supremes,stop! in the name of love,0.628,0.593,0,-7.515,1,0.0279,0.508,0.0,0.104,0.488,114.944,2
128,the kinks,sunny afternoon - mono mix,0.595,0.465,2,-8.412,0,0.026,0.102,0.0,0.0641,0.492,124.991,4
129,etta james,at last - single version,0.168,0.326,5,-9.981,1,0.0324,0.721,0.0006,0.316,0.322,174.794,1
130,marvin gaye,it takes two,0.523,0.48,3,-10.923,1,0.0492,0.214,0.0,0.0751,0.81,151.4,2
131,ricky nelson,"hello mary lou, goodbye heart - remastered",0.602,0.633,9,-9.756,1,0.0314,0.502,0.0,0.0614,0.931,98.995,2
132,the beatles,i want to hold your hand - remastered 2015,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,2
133,the lovin' spoonful,daydream,0.822,0.332,1,-11.369,1,0.0506,0.834,0.0,0.11,0.834,110.802,0
134,the dixie cups,chapel of love,0.593,0.354,9,-10.269,1,0.0288,0.733,0.0,0.527,0.793,124.63,0
135,betty everett,it's in the kiss (the shoop shoop song),0.604,0.51,11,-9.323,0,0.0544,0.903,2.19e-05,0.71,0.916,124.012,4
136,stevie wonder,"yester-me, yester-you, yesterday",0.604,0.357,6,-11.419,1,0.0269,0.0311,0.0,0.0927,0.638,100.721,2
137,the young rascals,good lovin' - single version,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494,1
138,simon & garfunkel,i am a rock,0.66,0.611,0,-10.309,1,0.0392,0.423,1.11e-05,0.107,0.749,113.898,2
139,the crystals,then he kissed me,0.431,0.678,4,-7.945,1,0.0365,0.7,6.37e-06,0.199,0.633,135.919,2
140,erma franklin,piece of my heart,0.467,0.783,8,-5.207,1,0.0528,0.139,0.0214,0.08,0.591,160.841,2
141,bob dylan,mr. tambourine man,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515,1
142,the easybeats,friday on my mind,0.374,0.991,9,-1.101,1,0.0813,0.38,0.000719,0.0929,0.51,95.105,2
143,peter and gordon,a world without love,0.512,0.658,1,-9.972,0,0.0607,0.232,0.0,0.108,0.752,129.861,4
144,dionne warwick,what the world needs now is love,0.574,0.364,11,-9.672,0,0.0365,0.915,9.98e-06,0.137,0.398,112.094,4
145,roberta flack,the first time ever i saw your face,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,0
146,the young rascals,groovin',0.605,0.455,5,-8.903,0,0.0301,0.595,0.0,0.0816,0.678,106.825,4
147,the beatles,a hard day's night - remastered 2015,0.546,0.818,0,-4.89,1,0.031,0.0487,0.0,0.0983,0.756,138.561,2
148,bob dylan,just like a woman,0.563,0.441,4,-9.902,1,0.0437,0.773,0.0,0.351,0.468,115.168,0
149,tom jones,delilah,0.528,0.482,9,-10.939,0,0.027,0.614,0.0,0.549,0.788,95.82,4
150,johnny nash,i can see clearly now,0.653,0.334,9,-6.955,1,0.0313,0.411,3.47e-05,0.123,0.665,119.46,2
151,yusuf / cat stevens,wild world,0.526,0.436,1,-6.02,1,0.0232,0.0981,7.69e-06,0.118,0.286,96.903,0
152,commodores,easy,0.731,0.837,9,-8.673,1,0.0477,0.000287,0.15,0.0978,0.832,135.603,2
153,eagles,hotel california - 2013 remaster,0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518,2
154,elton john,"rocket man (i think it's going to be a long, long time)",0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566,2
155,bee gees,how deep is your love,0.59,0.355,9,-14.051,1,0.0352,0.48,0.0,0.0585,0.499,133.03,0
156,mcfadden & whitehead,ain't no stoppin' us now - single version,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,2
157,bill withers,ain't no sunshine,0.669,0.616,11,-10.776,0,0.033,0.482,0.0,0.179,0.818,130.037,4
158,eric clapton,wonderful tonight,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231,2
159,rod stewart,maggie may,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,1
160,the bellamy brothers,let your love flow,0.621,0.708,6,-9.057,1,0.0259,0.246,2e-06,0.143,0.624,110.533,2
161,elton john,don't go breaking my heart,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,2
162,carly simon,you're so vain,0.423,0.384,9,-12.503,1,0.0315,0.729,4.11e-06,0.27,0.521,90.43,0
163,the doobie brothers,listen to the music,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072,4
164,billy joel,my life,0.542,0.722,7,-5.065,1,0.0262,0.0516,1.18e-05,0.131,0.609,115.21,2
165,fleetwood mac,go your own way - 2004 remaster,0.703,0.563,0,-9.99,1,0.0294,0.374,0.0,0.0933,0.972,127.004,2
166,frankie valli & the four seasons,"december, 1963 (oh, what a night)",0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,4
167,supertramp,give a little bit,0.405,0.488,4,-10.784,1,0.0678,0.415,0.0,0.0753,0.806,181.624,1
168,elton john,your song,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,2
